Code,NewCode,NAME,PopDens,AveAge,BornAbroad,Unemp,Disabled,Degrees,MedInc,CrimeRate,HousePrice,GreenSpace,CarsHH,NonEng
E09000001,E09000001,City of London,30.3,43.2,NA,NA,NA,NA,63620,NA,799999,4.8,0.4,NA
E09000002,E09000002,Barking and Dagenham,57.9,32.9,37.8,11,17.2,32.2,29420,83.4,243500,33.6,0.8,41.7
E09000003,E09000003,Barnet,44.9,37.3,35.2,8.5,14.9,49,40530,62.7,445000,41.3,1.1,46
E09000004,E09000004,Bexley,40.3,39,16.1,7.6,15.9,33.5,36990,51.8,275000,31.7,1.2,32.6
E09000005,E09000005,Brent,76.8,35.6,53.9,7.5,17.7,45.1,32140,78.8,407250,21.9,0.8,37.6
E09000006,E09000006,Bromley,21.8,40.2,18.3,5.3,15.9,46.7,43060,64.1,374975,57.8,1.2,38.9
E09000007,E09000007,Camden,111.3,36.4,41.4,4,21.3,61.1,43750,123.5,700000,24.8,0.5,25.2
E09000008,E09000008,Croydon,44.7,37,29.4,4.1,17.5,40.6,37000,77,300000,37.1,1,36.7
E09000009,E09000009,Ealing,63.3,36.2,47.4,5.8,15.2,49.7,36070,75.5,430000,30.9,0.9,43.6
E09000010,E09000010,Enfield,41.2,36.3,35,3.8,18.4,43.4,33110,69.4,320000,45.6,1,55.3
E09000011,E09000011,Greenwich,59.2,35,35.4,8.1,20.2,42.2,35350,79.4,340000,34.4,0.8,44.1
E09000012,E09000012,Hackney,144,33.1,35.8,5.9,17.9,49.2,35140,99.6,485000,23.2,0.4,44.2
E09000013,E09000013,Hammersmith and Fulham,113,35.7,43.2,4.7,12.9,67.5,43820,113.2,730000,19.1,0.5,48.9
E09000014,E09000014,Haringey,93.9,35.1,39.6,5.7,16.3,49.2,35420,90.2,432500,25.5,0.6,48
E09000015,E09000015,Harrow,50,38.3,49.6,4.6,13.9,47.9,38880,50.4,396150,34.6,1.2,57.6
E09000016,E09000016,Havering,22.6,40.3,10.9,5.3,18.2,26,36670,62.9,287500,59.3,1.2,38.9
E09000017,E09000017,Hillingdon,26,36.4,32.4,5.8,17.9,40.2,37040,76.6,350000,49.2,1.2,29.6
E09000018,E09000018,Hounslow,49,35.8,46.3,4.3,17.6,45.5,35330,79.2,355000,39.6,1,50.6
E09000019,E09000019,Islington,155.6,34.8,36.6,4.5,14.6,62.7,39790,121.2,583000,12.4,0.4,57.6
E09000020,E09000020,Kensington and Chelsea,131.1,39.3,51.9,4.2,14.3,65.2,55620,120.9,1200000,15.1,0.6,45.8
E09000021,E09000021,Kingston upon Thames,47.1,37.1,29.8,4.5,15.3,53.7,43940,58.5,410000,36.4,1.1,39.3
E09000022,E09000022,Lambeth,122.7,34.5,32.2,5.9,16.1,65,38490,104.6,450000,17.3,0.5,39.1
E09000023,E09000023,Lewisham,86.3,35,34.9,5.7,16.5,53.3,35900,77,352000,22.5,0.7,40.9
E09000024,E09000024,Merton,55.3,36.7,37.4,4.6,13.5,58,41960,59.7,415000,34.6,0.9,34.2
E09000025,E09000025,Newham,94.7,32.1,54.1,9.1,12.7,43.4,28780,90.8,305000,23.9,0.6,58.8
E09000026,E09000026,Redbridge,53.9,35.8,40.2,7.9,17.1,44.7,36860,69.7,345000,40.6,1.1,66.5
E09000027,E09000027,Richmond upon Thames,34.4,38.8,23.7,3.8,10.8,69.5,53470,56.3,575000,50.8,1.1,53.5
E09000028,E09000028,Southwark,108.9,34.4,38.4,7.7,16.8,56.8,37100,100.6,475000,24.9,0.5,29.8
E09000029,E09000029,Sutton,46.2,38.9,23.1,5.5,14.4,42.5,39940,55.9,320000,32,1.2,34.3
E09000030,E09000030,Tower Hamlets,153.7,31.4,38.6,9.2,15.4,45.7,34930,99.9,415000,15.2,0.4,51.1
E09000031,E09000031,Waltham Forest,71.2,35.1,37.2,5.4,15.5,42.6,33080,78,366569,31.4,0.8,62.4
E09000032,E09000032,Wandsworth,93.7,35,32.8,5.7,11.4,66.4,47480,72.6,557000,26.9,0.7,50.8
E09000033,E09000033,Westminster,112.7,37.7,49.8,8.8,17.5,63.6,47510,212.4,920000,38.2,0.5,52.6
